title,release_date,genres,language,description,poster_path,tagline,runtime,rating,vote_count,movieId
Apocalypse Now,1979-05-19,Drama|War,en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",https://image.tmdb.org/t/p/w500/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,,147.0,8.272,8557.0,180
Return of the Jedi,1983-05-25,Adventure|Action|Science Fiction,en,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",https://image.tmdb.org/t/p/w500/jQYlydvHm3kUix1f8prMucrplhm.jpg,Return to a galaxy far far away.,132.0,7.904,16193.0,181
GoodFellas,1990-09-12,Drama|Crime,en,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",https://image.tmdb.org/t/p/w500/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,Three decades of life in the mafia.,145.0,8.455,13489.0,182
Alien,1979-05-25,Horror|Science Fiction,en,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",https://image.tmdb.org/t/p/w500/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,"In space, no one can hear you scream.",117.0,8.164,15437.0,183
Army of Darkness,1992-10-31,Fantasy|Horror|Comedy,en,"Ash, a handsome, shotgun-toting, chainsaw-armed department store clerk, is time warped backwards into England's Dark Ages, where he romances a beauty and faces legions of the undead.",https://image.tmdb.org/t/p/w500/xsgTuAtR2zSH8Umg3jWZcZjlDpe.jpg,Trapped in time. Surrounded by evil. Low on gas.,81.0,7.252,3300.0,184
Psycho,1960-06-22,Horror|Thriller|Mystery,en,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",https://image.tmdb.org/t/p/w500/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,A new and altogether different screen excitement!,109.0,8.421,10440.0,185
The Blues Brothers,1980-06-16,Music|Comedy|Action|Crime,en,"Jake Blues, just released from prison, puts his old band back together to save the Catholic home where he and his brother Elwood were raised.",https://image.tmdb.org/t/p/w500/rhYJKOt6UrQq7JQgLyQcSWW5R86.jpg,They'll never get caught. They're on a mission from God.,133.0,7.725,4337.0,186
The Godfather Part II,1974-12-20,Drama|Crime,en,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,The rise and fall of the Corleone empire.,202.0,8.571,13066.0,187
Full Metal Jacket,1987-06-26,Drama|War,en,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,https://image.tmdb.org/t/p/w500/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg,"In Vietnam, the wind doesn't blow. It sucks.",117.0,8.123,10888.0,188
"Grand Day Out, A",,,,,,,,,,189
Henry V,1989-10-05,War|Drama|History,en,"In the midst of the Hundred Years War, the young King Henry V of England embarks on the conquest of France in 1415.",https://image.tmdb.org/t/p/w500/w9R2HsYNnfF3m9uEo2UAmPNJr8a.jpg,The great adventure of a king who defied the odds to prove himself a man.,137.0,7.133,392.0,190
Amadeus,1984-09-19,History|Music|Drama,en,Disciplined Italian composer Antonio Salieri becomes consumed by jealousy and resentment towards the hedonistic and remarkably talented young Viennese composer Wolfgang Amadeus Mozart.,https://image.tmdb.org/t/p/w500/1n5VUlCqgmVax1adxGZm8oCFaKc.jpg,Everything you've heard is true...,160.0,8.025,4445.0,191
Raging Bull,1980-11-14,Drama,en,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",https://image.tmdb.org/t/p/w500/1WV7WlTS8LI1L5NkCgjWT9GSW3O.jpg,I don’t go down for nobody.,129.0,7.9,4475.0,192
The Right Stuff,1983-10-20,Drama|History|Adventure,en,"As the Space Race ensues, seven pilots set off on a path to become the first American astronauts to enter space. However, the road to making history brings forth momentous challenges.",https://image.tmdb.org/t/p/w500/btqTjNRxecYgQ1FGfVlLqSSNjz.jpg,How the future began.,193.0,7.436,906.0,193
The Sting,1973-12-25,Comedy|Crime|Drama,en,A novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.,https://image.tmdb.org/t/p/w500/ckmYng37zey8INYf6d10cVgIG93.jpg,...all it takes is a little confidence.,129.0,8.027,2728.0,194
The Terminator,1984-10-26,Action|Thriller|Science Fiction,en,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",https://image.tmdb.org/t/p/w500/hzXSE66v6KthZ8nPoLZmsi2G05j.jpg,Your future is in its hands.,108.0,7.668,13729.0,195
Dead Poets Society,1989-06-02,Drama,en,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",https://image.tmdb.org/t/p/w500/erzbMlcNHOdx24AXOcn2ZKA7R1q.jpg,He was their inspiration. He made their lives extraordinary.,128.0,8.3,11756.0,196
The Graduate,1967-12-21,Drama|Romance|Comedy,en,A disillusioned college graduate finds himself torn between his older lover and her daughter.,https://image.tmdb.org/t/p/w500/z1Z1tZMR66RxcNeHbwoEhYeqOlP.jpg,This is Benjamin. He’s a little worried about his future.,106.0,7.636,3471.0,197
La Femme Nikita,1990-02-21,Action|Thriller,fr,"A beautiful felon, sentenced to life in prison for the murder of a policeman, is given a second chance – as a secret political assassin controlled by the government.",https://image.tmdb.org/t/p/w500/1ulQDewUG4KKHOhpXdGKm3GdLFq.jpg,She murders. So she can live.,117.0,7.096,2018.0,198
The Bridge on the River Kwai,1957-10-11,Drama|History|War,en,"The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson, the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.",https://image.tmdb.org/t/p/w500/7paXMt2e3Tr5dLmEZOGgFEn2Vo7.jpg,It spans a whole new world of entertainment!,161.0,7.816,2210.0,199
The Shining,1980-05-23,Horror|Thriller,en,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",https://image.tmdb.org/t/p/w500/xazWoLealQwEgqZ89MLZklLZD3k.jpg,A masterpiece of modern horror.,144.0,8.211,18045.0,200
Evil Dead II,1987-03-13,Horror|Comedy|Fantasy,en,"Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""The Book of the Dead."" As they play the recording an evil power is unleashed taking over Linda's body.",https://image.tmdb.org/t/p/w500/4zqCKJVHUolGs6C5AZwAZqLWixW.jpg,Kiss your nerves goodbye!,84.0,7.545,3262.0,201
Groundhog Day,1993-02-11,Romance|Fantasy|Drama|Comedy,en,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",https://image.tmdb.org/t/p/w500/gCgt1WARPZaXnq523ySQEUKinCs.jpg,He’s having the worst day of his life… Over and over again.,101.0,7.616,8343.0,202
Unforgiven,1992-08-07,Western,en,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",https://image.tmdb.org/t/p/w500/54roTwbX9fltg85zjsmrooXAs12.jpg,Some legends will never be forgotten. Some wrongs can never be forgiven.,130.0,7.912,4627.0,203
Back to the Future,1985-07-03,Adventure|Comedy|Science Fiction,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",https://image.tmdb.org/t/p/w500/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg,He was never in time for his classes. He wasn't in time for his dinner. Then one day...he wasn't in his time at all.,116.0,8.321,20698.0,204
Patton,1970-01-25,War|Drama|History,en,"""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with Patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.",https://image.tmdb.org/t/p/w500/8IRufbzhMJSdlmD0cnTWERCtTN2.jpg,The Rebel Warrior,172.0,7.5,1133.0,205
Akira,1988-06-10,Animation|Science Fiction|Action,ja,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,https://image.tmdb.org/t/p/w500/neZ0ykEsPqxamsX6o5QNUFILQrz.jpg,Neo-Tokyo is about to E.X.P.L.O.D.E.,124.0,7.941,4453.0,206
Cyrano de Bergerac,1990-03-28,Drama|Comedy|History|Romance,fr,"Famed swordsman and poet Cyrano de Bergerac is in love with his cousin Roxane. He has never expressed his love for her as he his large nose undermines his self-confidence. Then he finds a way to express his love to her, indirectly.",https://image.tmdb.org/t/p/w500/80XJ5UkGuYTKDuALeG03BLk1OT1.jpg,,137.0,7.332,788.0,207
Young Frankenstein,1974-12-15,Comedy,en,"A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",https://image.tmdb.org/t/p/w500/c6335WJCZO8NK5wehHk5sA9Cypv.jpg,The scariest comedy of all time!,106.0,7.87,3224.0,208
This Is Spinal Tap,1984-03-02,Comedy|Music,en,"""This Is Spinal Tap"" shines a light on the self-contained universe of a metal band struggling to get back on the charts, including everything from its complicated history of ups and downs, gold albums, name changes and undersold concert dates, along with the full host of requisite groupies, promoters, hangers-on and historians, sessions, release events and those special behind-the-scenes moments that keep it all real.",https://image.tmdb.org/t/p/w500/z2LA8eBTSuuPC4NBhIZRNIwpimH.jpg,Prepare to crank those amps up to eleven.,82.0,7.416,1479.0,209
Indiana Jones and the Last Crusade,1989-05-24,Adventure|Action,en,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",https://image.tmdb.org/t/p/w500/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,Have the adventure of your life keeping up with the Joneses.,127.0,7.851,10512.0,210
M*A*S*H,1970-02-18,Comedy|Drama|War,en,The staff of a Korean War field hospital use humor and hijinks to keep their sanity in the face of the horror of war.,https://image.tmdb.org/t/p/w500/xZHNAcCVd5gUy68MBc4CmDqmely.jpg,M*A*S*H Gives A D*A*M*N.,116.0,6.968,1083.0,211
The Unbearable Lightness of Being,1988-02-05,Drama|Romance,en,"Successful surgeon Tomas leaves Prague for an operation, meets a young photographer named Tereza, and brings her back with him. Tereza is surprised to learn that Tomas is already having an affair with the bohemian Sabina, but when the Soviet invasion occurs, all three flee to Switzerland. Sabina begins an affair, Tom continues womanizing, and Tereza, disgusted, returns to Czechoslovakia. Realizing his mistake, Tomas decides to chase after her.",https://image.tmdb.org/t/p/w500/g1kPEwATsCI8DnGx6ViAhUVKQSI.jpg,A lovers’ story.,171.0,6.9,471.0,212
